epoch,out_0,out_1,step,train_loss
0,-0.0003812788345385343,,0,1.4537353365540184e-07
0,-0.0003812788345385343,-1.2152654100053284e-12,1,1.0
0,-0.0003812788345385343,5.043148485128768e-05,2,3.99979829788208
0,-0.0003812788345385343,-4.242848916646835e-08,3,9.0
0,-0.0003812788345385343,6.404615760402521e-06,4,15.999948501586914
1,1.8518120370458746e-08,,5,3.4292075930031146e-16
1,1.8518120370458746e-08,4.835436584471609e-07,6,0.9999989867210388
1,1.8518120370458746e-08,0.4256768822669983,7,2.4784934520721436
1,1.8518120370458746e-08,5.450157914310694e-06,8,8.999966621398926
1,1.8518120370458746e-08,0.7617153525352478,9,10.486486434936523
2,0.08336576819419861,,10,0.00694985082373023
2,0.08336576819419861,0.0008730412228032947,11,0.998254656791687
2,0.08336576819419861,0.7611207962036133,12,1.534821629524231
2,0.08336576819419861,4.766616825691017e-07,13,8.99999713897705
2,0.08336576819419861,0.7615941762924194,14,10.487271308898926
3,0.0,,15,0.0
3,0.0,0.0,16,1.0
3,0.0,0.7615872621536255,17,1.5336660146713257
3,0.0,0.0,18,9.0
3,0.0,0.7615940570831299,19,10.487272262573242
4,0.0,,20,0.0
4,0.0,0.0,21,1.0
4,0.0,0.7615935206413269,22,1.5336503982543945
4,0.0,0.0,23,9.0
4,0.0,0.7615940570831299,24,10.487272262573242
5,0.0,,25,0.0
5,0.0,0.0,26,1.0
5,0.0,0.7615939378738403,27,1.5336495637893677
5,0.0,0.0,28,9.0
5,0.0,0.7615940570831299,29,10.487272262573242
6,0.0,,30,0.0
6,0.0,0.0,31,1.0
6,0.0,0.7615940570831299,32,1.533649206161499
6,0.0,0.0,33,9.0
6,0.0,0.7615940570831299,34,10.487272262573242
7,0.0,,35,0.0
7,0.0,0.0,36,1.0
7,0.0,0.7615940570831299,37,1.533649206161499
7,0.0,0.0,38,9.0
7,0.0,0.7615940570831299,39,10.487272262573242
8,0.0,,40,0.0
8,0.0,0.0,41,1.0
8,0.0,0.7615940570831299,42,1.533649206161499
8,0.0,0.0,43,9.0
8,0.0,0.7615940570831299,44,10.487272262573242
9,0.0,,45,0.0
9,0.0,0.0,46,1.0
9,0.0,0.7615940570831299,47,1.533649206161499
9,0.0,0.0,48,9.0
9,0.0,0.7615940570831299,49,10.487272262573242
10,0.0,,50,0.0
10,0.0,0.0,51,1.0
10,0.0,0.7615940570831299,52,1.533649206161499
10,0.0,0.0,53,9.0
10,0.0,0.7615940570831299,54,10.487272262573242
11,0.0,,55,0.0
11,0.0,0.0,56,1.0
11,0.0,0.7615940570831299,57,1.533649206161499
11,0.0,0.0,58,9.0
11,0.0,0.7615940570831299,59,10.487272262573242
12,0.0,,60,0.0
12,0.0,0.0,61,1.0
12,0.0,0.7615940570831299,62,1.533649206161499
12,0.0,0.0,63,9.0
12,0.0,0.7615940570831299,64,10.487272262573242
13,0.0,,65,0.0
13,0.0,0.0,66,1.0
13,0.0,0.7615940570831299,67,1.533649206161499
13,0.0,0.0,68,9.0
13,0.0,0.7615940570831299,69,10.487272262573242
14,0.0,,70,0.0
14,0.0,0.0,71,1.0
14,0.0,0.7615940570831299,72,1.533649206161499
14,0.0,0.0,73,9.0
14,0.0,0.7615940570831299,74,10.487272262573242
15,0.0,,75,0.0
