epoch,out_0,out_1,step,train_loss
0,-0.2689615488052368,,0,0.07234030961990356
0,-0.2689615488052368,-0.13925909996032715,1,1.297911286354065
1,-0.05662374198436737,,2,0.0032062476966530085
1,-0.05662374198436737,-0.01644369214773178,3,1.0331578254699707
2,0.0068411193788051605,,4,4.6800912969047204e-05
2,0.0068411193788051605,0.014829730615019798,5,0.9705603718757629
3,0.017803261056542397,,6,0.0003169560804963112
3,0.017803261056542397,0.017399078235030174,7,0.9655045866966248
4,0.016862887889146805,,8,0.00028435696731321514
4,0.016862887889146805,0.01574455201625824,9,0.968758761882782
5,0.015276089310646057,,10,0.00023335887817665935
5,0.015276089310646057,0.014676352962851524,11,0.9708626866340637
6,0.014745917171239853,,12,0.0002174420515075326
6,0.014745917171239853,0.014734993688762188,13,0.9707471132278442
7,0.015402461402118206,,14,0.00023723579943180084
7,0.015402461402118206,0.01599195972084999,15,0.968271791934967
8,0.017389098182320595,,16,0.0003023807075805962
8,0.017389098182320595,0.01872369647026062,17,0.9629030227661133
9,0.021197667345404625,,18,0.0004493410524446517
9,0.021197667345404625,0.023665307089686394,19,0.9532293677330017
10,0.027991758659482002,,20,0.0007835384458303452
10,0.027991758659482002,0.03246288374066353,21,0.9361280202865601
11,0.040351007133722305,,22,0.001628203666768968
11,0.040351007133722305,0.04875107854604721,23,0.9048745036125183
12,0.06397166848182678,,24,0.004092373885214329
12,0.06397166848182678,0.08041808009147644,25,0.8456307649612427
13,0.11044314503669739,,26,0.012197687290608883
13,0.11044314503669739,0.14186568558216095,27,0.736394464969635
14,0.19605010747909546,,28,0.038435641676187515
14,0.19605010747909546,0.2460229992866516,29,0.5684812664985657
15,0.32159703969955444,,30,0.10342464596033096
15,0.32159703969955444,0.37798064947128296,31,0.38690802454948425
16,0.4497634172439575,,32,0.20228712260723114
16,0.4497634172439575,0.49490031599998474,33,0.25512564182281494
17,0.5434364676475525,,34,0.2953231632709503
17,0.5434364676475525,0.5722196102142334,35,0.18299604952335358
18,0.599798321723938,,36,0.3597579896450043
18,0.599798321723938,0.6159310936927795,37,0.1475089192390442
19,0.6304051280021667,,38,0.3974106013774872
19,0.6304051280021667,0.6382160186767578,39,0.13088764250278473
20,0.6449550986289978,,40,0.41596704721450806
20,0.6449550986289978,0.647212028503418,41,0.12445934116840363
21,0.6491807699203491,,42,0.4214356541633606
21,0.6491807699203491,0.6474043726921082,43,0.12432366609573364
22,0.6461964249610901,,44,0.41756975650787354
22,0.6461964249610901,0.6411401629447937,45,0.12878036499023438
23,0.6376158595085144,,46,0.4065539240837097
23,0.6376158595085144,0.6295902132987976,47,0.1372033953666687
24,0.6242457628250122,,48,0.38968273997306824
24,0.6242457628250122,0.6133626699447632,49,0.1494884192943573
25,0.6065832376480103,,50,0.3679431974887848
25,0.6065832376480103,0.5929786562919617,51,0.1656663715839386
26,0.5852347016334534,,52,0.34249961376190186
26,0.5852347016334534,0.5692827701568604,53,0.1855173110961914
27,0.5612605810165405,,54,0.31501340866088867
27,0.5612605810165405,0.5437241792678833,55,0.20818760991096497
28,0.5363443493843079,,56,0.2876652479171753
28,0.5363443493843079,0.5183694362640381,57,0.2319679856300354
29,0.5126562118530273,,58,0.2628163695335388
29,0.5126562118530273,0.4955625832080841,59,0.25445711612701416
30,0.49240735173225403,,60,0.24246498942375183
30,0.49240735173225403,0.47735875844955444,61,0.2731538414955139
31,0.47730156779289246,,62,0.22781676054000854
31,0.47730156779289246,0.4650353789329529,63,0.2861871123313904
32,0.46816694736480713,,64,0.21918027102947235
32,0.46816694736480713,0.458901971578598,65,0.29278701543807983
33,0.4649001955986023,,66,0.21613217890262604
33,0.4649001955986023,0.4584084451198578,67,0.2933213412761688
34,0.4666562080383301,,68,0.21776799857616425
34,0.4666562080383301,0.4624141752719879,69,0.288998544216156
35,0.4721449911594391,,70,0.22292087972164154
35,0.4721449911594391,0.46949389576911926,71,0.2814367413520813
36,0.4799293577671051,,72,0.2303321659564972
36,0.4799293577671051,0.4782066345214844,73,0.27226829528808594
37,0.48866352438926697,,74,0.23879201710224152
37,0.48866352438926697,0.4872916340827942,75,0.26286983489990234
38,0.49724748730659485,,76,0.24725504219532013
38,0.49724748730659485,0.49577924609184265,77,0.2542385160923004
39,0.5048916935920715,,78,0.25491559505462646
39,0.5048916935920715,0.5030189752578735,79,0.2469901144504547
40,0.5111116766929626,,80,0.2612351179122925
40,0.5111116766929626,0.5086514353752136,81,0.24142339825630188
41,0.5156809687614441,,82,0.2659268379211426
41,0.5156809687614441,0.5125517845153809,83,0.2376057356595993
42,0.5185713768005371,,84,0.2689162492752075
42,0.5185713768005371,0.5147683620452881,85,0.23544971644878387
43,0.5198944807052612,,86,0.2702902555465698
43,0.5198944807052612,0.5154690146446228,87,0.2347702533006668
44,0.5198559165000916,,88,0.2702501714229584
44,0.5198559165000916,0.5148990750312805,89,0.23532289266586304
45,0.5187198519706726,,90,0.26907026767730713
45,0.5187198519706726,0.513349711894989,91,0.2368284910917282
46,0.5167813301086426,,92,0.2670629024505615
46,0.5167813301086426,0.5111318230628967,93,0.23899208009243011
47,0.5143433213233948,,94,0.26454901695251465
47,0.5143433213233948,0.5085535645484924,95,0.24151957035064697
48,0.5116962194442749,,96,0.26183298230171204
48,0.5116962194442749,0.5059002041816711,97,0.2441345751285553
49,0.5090994834899902,,98,0.25918227434158325
49,0.5090994834899902,0.5034168362617493,99,0.24659481644630432
50,0.506766140460968,,100,0.25681188702583313
50,0.506766140460968,0.5012941360473633,101,0.24870751798152924
51,0.5048521161079407,,102,0.25487563014030457
51,0.5048521161079407,0.4996608793735504,103,0.25033923983573914
52,0.5034507513046265,,104,0.25346264243125916
52,0.5034507513046265,0.49858158826828003,105,0.25142037868499756
53,0.5025950074195862,,106,0.2526017129421234
53,0.5025950074195862,0.49806100130081177,107,0.2519427239894867
54,0.5022633671760559,,108,0.2522684633731842
54,0.5022633671760559,0.49805405735969543,109,0.2519497275352478
55,0.5023916959762573,,110,0.2523973882198334
55,0.5023916959762573,0.49847862124443054,111,0.2515236437320709
56,0.5028867721557617,,112,0.2528950870037079
56,0.5028867721557617,0.49922969937324524,113,0.2507708966732025
57,0.5036405324935913,,114,0.25365376472473145
57,0.5036405324935913,0.5001943111419678,115,0.24980570375919342
58,0.5045430064201355,,116,0.2545635998249054
58,0.5045430064201355,0.5012628436088562,117,0.24873873591423035
59,0.5054924488067627,,118,0.25552257895469666
59,0.5054924488067627,0.5023388862609863,119,0.24766656756401062
60,0.5064033269882202,,120,0.2564443051815033
